long,lat
-122.43452719999999,37.7683574
-122.43452719999999,37.7683574
-122.45924830000001,37.7472906
-122.4568711,37.76356
-122.55187940000002,47.1096692
-109.95140000000004,33.8932
-122.43452719999999,37.7683574
-122.41670640000001,37.7897703
-122.43593699999997,37.76880329999999
-122.42078679999997,37.7478098
-122.4538523,37.7739514
-122.4089419,37.7954961
-122.40498550000001,37.755535
-122.40716270000001,37.7758906
-122.50534620000002,37.7824978
-122.45859000000002,37.7626907
-122.3897268,37.765248
-122.39010350000001,37.7654511
-122.39031790000001,37.7649039
-122.43962379999999,37.78508250000001
-122.45769940000002,37.7623117
-122.45859000000002,37.7626907
